"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.623624983E-3,1.052311707E-1,2.954855347E-1,9.793683929E0
1.263662498E-2,1.184037781E-1,2.921923828E-1,9.767189026E0
2.265062497E-2,1.254391479E-1,2.826123047E-1,9.756860504E0
3.266362497E-2,1.178050232E-1,3.116519165E-1,9.766141205E0
4.267662496E-2,1.065783691E-1,2.957849121E-1,9.776619415E0
5.269062496E-2,1.187031555E-1,2.888992310E-1,9.780062256E0
6.270362495E-2,9.744735718E-2,2.971321106E-1,9.765841827E0
7.271662500E-2,1.041833496E-1,3.001258850E-1,9.772727509E0
8.273062500E-2,1.058299255E-1,3.013233948E-1,9.770482178E0
9.274362499E-2,1.124162292E-1,2.950364685E-1,9.766440582E0
1.027566250E-1,1.097218323E-1,3.098556519E-1,9.765243073E0
1.127706250E-1,1.213975525E-1,3.092568970E-1,9.763895874E0
1.227836250E-1,1.161584473E-1,3.022215271E-1,9.780810699E0
1.327966250E-1,1.083746338E-1,3.126997375E-1,9.773925018E0
1.428106250E-1,9.520202637E-2,2.962339783E-1,9.772727509E0
1.528236250E-1,1.059796143E-1,3.031196594E-1,9.771979065E0
1.628366249E-1,1.068777466E-1,3.037184143E-1,9.772727509E0
1.728506250E-1,1.013392639E-1,2.993774414E-1,9.774673462E0
1.828636250E-1,1.185534668E-1,2.896476746E-1,9.778116302E0
1.928766250E-1,1.124162292E-1,2.960842896E-1,9.753567352E0
2.028906250E-1,1.080752563E-1,2.909948730E-1,9.775122528E0
2.129036250E-1,1.148112488E-1,3.061134338E-1,9.783654785E0
2.229166250E-1,1.005908203E-1,3.104544067E-1,9.761650543E0
2.329306250E-1,1.023870850E-1,3.092568970E-1,9.786498871E0
2.429436250E-1,1.222956848E-1,2.975811768E-1,9.780062256E0
2.529576250E-1,1.122665405E-1,2.984793091E-1,9.790390778E0
2.629706250E-1,1.092727661E-1,2.918930054E-1,9.764195251E0
2.729836250E-1,1.095721436E-1,2.924917603E-1,9.775571594E0
2.829976250E-1,1.049317932E-1,2.887495422E-1,9.782606964E0
2.930106250E-1,1.034349060E-1,3.031196594E-1,9.780960388E0
3.030236250E-1,1.071771240E-1,2.960842896E-1,9.774523773E0
3.130376250E-1,1.233435059E-1,3.010240173E-1,9.768536224E0
3.230506250E-1,1.155596924E-1,2.927911377E-1,9.772128754E0
3.330636250E-1,1.187031555E-1,2.945874023E-1,9.780960388E0
3.430776250E-1,1.179547119E-1,3.061134338E-1,9.782307587E0
3.530906250E-1,1.002914429E-1,2.918930054E-1,9.785451050E0
3.631036250E-1,9.999206543E-2,2.981799316E-1,9.776918793E0
3.731176250E-1,9.954299927E-2,3.029699707E-1,9.772727509E0
3.831306250E-1,1.052311707E-1,3.038681030E-1,9.764344940E0
3.931436250E-1,1.002914429E-1,3.052153015E-1,9.769134979E0
4.031576250E-1,1.016386414E-1,2.880010986E-1,9.765692139E0
4.131706250E-1,1.163081360E-1,3.044668579E-1,9.764195251E0
4.231836250E-1,1.148112488E-1,3.037184143E-1,9.768685913E0
4.331976250E-1,1.185534668E-1,3.053649902E-1,9.777068481E0
4.432106250E-1,1.134640503E-1,2.903961182E-1,9.779613190E0
4.532246250E-1,1.082249451E-1,2.906954956E-1,9.773026886E0
4.632376250E-1,1.041833496E-1,3.134481812E-1,9.765692139E0
4.732506250E-1,1.040336609E-1,3.144960022E-1,9.765991516E0
4.832646250E-1,1.020877075E-1,3.085084534E-1,9.794582062E0
4.932776250E-1,1.176553345E-1,2.966830444E-1,9.761500854E0
5.032906250E-1,1.073268127E-1,2.983296204E-1,9.772877197E0
5.133046250E-1,1.130149841E-1,3.017724609E-1,9.777816925E0
5.233176250E-1,1.140628052E-1,3.028202820E-1,9.771529999E0
5.333306250E-1,1.109193420E-1,3.047662354E-1,9.794582062E0
5.433446250E-1,1.005908203E-1,2.877017212E-1,9.759105835E0
5.533576250E-1,1.007405090E-1,2.881507874E-1,9.774374084E0
5.633706250E-1,1.047821045E-1,3.001258850E-1,9.758357391E0
5.733846250E-1,1.074765015E-1,2.947370911E-1,9.770631866E0
5.833976250E-1,1.097218323E-1,3.070115662E-1,9.796378326E0
5.934106250E-1,1.145118713E-1,2.998265076E-1,9.766440582E0
6.034246250E-1,1.133143616E-1,2.888992310E-1,9.776020660E0
6.134376250E-1,9.969268799E-2,3.014730835E-1,9.782008209E0
6.234516250E-1,1.083746338E-1,2.896476746E-1,9.775421906E0
6.334646250E-1,1.038839722E-1,2.927911377E-1,9.768236847E0
6.434776250E-1,1.083746338E-1,3.019221497E-1,9.786798248E0
6.534916250E-1,1.160087585E-1,3.031196594E-1,9.766290894E0
6.635046250E-1,1.145118713E-1,3.028202820E-1,9.764644318E0
6.735176250E-1,1.053808594E-1,2.951861572E-1,9.767787781E0
6.835316250E-1,1.043330383E-1,3.194357300E-1,9.779164124E0
6.935446250E-1,1.058299255E-1,3.026705933E-1,9.765841827E0
7.035576250E-1,1.055305481E-1,2.926414490E-1,9.763746185E0
7.135716250E-1,1.037342834E-1,3.044668579E-1,9.774523773E0
7.235846250E-1,1.091230774E-1,3.002755737E-1,9.771979065E0
7.335976250E-1,1.041833496E-1,2.939886475E-1,9.780211945E0
7.436116250E-1,1.091230774E-1,3.122506714E-1,9.772128754E0
7.536246250E-1,9.939331055E-2,2.936892700E-1,9.776769104E0
7.636376250E-1,1.175056458E-1,3.053649902E-1,9.763596497E0
7.736516250E-1,1.049317932E-1,3.131488037E-1,9.768835602E0
7.836646250E-1,1.107696533E-1,3.029699707E-1,9.781110077E0
7.936776250E-1,1.134640503E-1,2.888992310E-1,9.773326263E0
8.036916250E-1,1.164578247E-1,3.122506714E-1,9.757908325E0
8.137046250E-1,1.094224548E-1,2.921923828E-1,9.758357391E0
8.237186250E-1,1.065783691E-1,2.908451843E-1,9.769434357E0
8.337316250E-1,1.185534668E-1,3.040177917E-1,9.776469727E0
8.437446250E-1,1.107696533E-1,2.996768188E-1,9.783205719E0
8.537586250E-1,9.969268799E-2,3.032693481E-1,9.782157898E0
8.637716250E-1,1.017883301E-1,3.061134338E-1,9.777816925E0
8.737843750E-1,1.025367737E-1,3.031196594E-1,9.778864746E0
8.837983750E-1,9.505233765E-2,3.034190369E-1,9.786049805E0
8.938113750E-1,1.083746338E-1,2.987786865E-1,9.779313812E0
9.038243750E-1,1.166075134E-1,2.972817993E-1,9.769584045E0
9.138383750E-1,1.110690308E-1,2.865042114E-1,9.765243073E0
9.238513750E-1,1.167572021E-1,2.930905151E-1,9.762548676E0
9.338643750E-1,1.134640503E-1,2.977308655E-1,9.774523773E0
9.438783750E-1,1.091230774E-1,2.981799316E-1,9.790690155E0
9.538913750E-1,1.025367737E-1,2.942880249E-1,9.787546692E0
9.639043750E-1,9.954299927E-2,3.037184143E-1,9.786798248E0
9.739183750E-1,1.004411316E-1,2.959346008E-1,9.782906342E0
9.839313750E-1,1.134640503E-1,2.824626160E-1,9.776170349E0
9.939443750E-1,1.106199646E-1,2.960842896E-1,9.774224396E0
1.003958375E0,1.055305481E-1,2.906954956E-1,9.780062256E0
1.013971375E0,1.173559570E-1,2.903961182E-1,9.780511322E0
1.023985375E0,1.151106262E-1,3.040177917E-1,9.782606964E0
1.033998375E0,1.091230774E-1,2.965333557E-1,9.775272217E0
1.044011375E0,1.128652954E-1,3.035687256E-1,9.786349182E0
1.054025375E0,1.085243225E-1,2.853067017E-1,9.771080933E0
1.064038375E0,1.058299255E-1,3.002755737E-1,9.770332489E0
1.074051375E0,1.145118713E-1,2.848576355E-1,9.783205719E0
1.084065375E0,1.065783691E-1,2.821632385E-1,9.776619415E0
1.094078375E0,1.133143616E-1,3.011737061E-1,9.759105835E0
1.104091375E0,1.094224548E-1,2.969824219E-1,9.765542450E0
1.114105375E0,1.055305481E-1,3.067121887E-1,9.783654785E0
1.124118375E0,1.163081360E-1,2.891986084E-1,9.780661011E0
1.134131375E0,1.092727661E-1,2.977308655E-1,9.760153656E0
