"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.875624971E-3,6.199949421E-4,1.690172357E-3,9.866312612E-4
1.388862496E-2,-1.259567216E-4,-8.877678774E-4,1.245660242E-4
2.390262496E-2,5.156504922E-4,-1.038867049E-5,1.483981032E-4
3.391562495E-2,5.872896872E-4,-1.486067194E-4,1.077042427E-3
4.392862500E-2,1.174316742E-3,2.330467105E-4,2.621747553E-4
5.394262500E-2,7.256679237E-5,-4.820118193E-4,4.440688062E-4
6.395562500E-2,-3.734109923E-4,4.955451004E-5,-2.576792613E-4
7.396862499E-2,1.324087847E-3,-3.906658385E-4,-8.134809323E-4
8.398262499E-2,3.811554052E-4,-1.967428252E-4,3.520555329E-4
9.399562498E-2,-4.489519633E-4,-2.310979180E-4,-1.115346327E-3
1.040086250E-1,6.816829555E-4,-1.098933397E-3,-1.212819479E-3
1.140226250E-1,-5.881125107E-4,2.030862961E-4,8.639134467E-4
1.240356250E-1,1.360558905E-3,1.988033764E-4,6.676302291E-5
1.340486250E-1,-3.227451816E-5,4.259708803E-4,8.753570728E-5
1.440626250E-1,2.674232237E-4,7.535838522E-4,1.356103458E-4
1.540756250E-1,-1.726485323E-3,-1.185729867E-3,-6.572436541E-5
1.640886250E-1,7.603182457E-4,8.416681085E-4,-2.393000759E-4
1.741026250E-1,2.061142586E-4,-4.486336838E-4,-1.139714848E-3
1.841156250E-1,6.972574629E-4,-1.194251934E-3,6.144468207E-4
1.941286250E-1,1.007094979E-4,-4.506974947E-4,9.071282111E-4
2.041426250E-1,1.081883907E-3,-2.773036249E-4,1.452583820E-4
2.141556250E-1,1.796046272E-4,8.572030347E-4,-1.396711916E-3
2.241686250E-1,1.695434097E-3,-9.481564630E-4,-6.085168570E-5
2.341826250E-1,2.879537642E-4,-1.935288310E-6,-1.472060569E-3
2.441956250E-1,1.513659954E-4,1.589616295E-3,-1.390236430E-4
2.542096250E-1,6.792047061E-4,-3.121469636E-4,1.499294303E-4
2.642226250E-1,8.826344274E-4,1.267129555E-3,-6.580068730E-4
2.742356250E-1,4.690452479E-4,5.273034330E-4,-3.458843566E-4
2.842496250E-1,4.582488909E-4,7.878497709E-4,-1.019411720E-4
2.942626250E-1,-2.520158887E-4,2.538668923E-5,8.314847946E-5
3.042756250E-1,3.018146381E-4,-2.113010269E-4,-1.649838407E-3
3.142896250E-1,-7.129460573E-5,-1.400402514E-3,-7.954961620E-4
3.243026250E-1,-1.020819414E-3,3.986291122E-4,-6.665755063E-5
3.343156250E-1,3.078319132E-4,-1.309555955E-5,-7.278285921E-5
3.443296250E-1,-9.605810046E-4,-9.205844253E-5,9.512668476E-5
3.543426250E-1,2.884417772E-4,-1.431910787E-4,-2.924306318E-5
3.643556250E-1,6.645512767E-4,1.790752052E-3,1.430570148E-3
3.743696250E-1,6.429795176E-4,3.116324078E-4,4.254931118E-4
3.843826250E-1,-2.759122290E-4,-1.197999809E-4,9.269723669E-4
3.943956250E-1,9.799562395E-5,-9.254063480E-4,-7.966253906E-4
4.044096250E-1,5.588238128E-4,-3.190042917E-4,1.214055112E-3
4.144226250E-1,2.064877190E-4,2.916585654E-4,-1.094905660E-3
4.244356250E-1,-6.168023683E-4,7.095751353E-4,-1.575408038E-3
4.344496250E-1,-6.406102329E-6,-1.007098472E-3,-6.379792467E-5
4.444626250E-1,-1.114369370E-4,-6.036295090E-4,1.412713900E-4
4.544766250E-1,8.020275272E-4,-2.635440324E-4,5.319572520E-4
4.644896250E-1,-5.521182902E-4,3.563954961E-4,6.500687450E-4
4.745026250E-1,1.443920657E-3,-1.948787831E-4,5.512654316E-4
4.845166250E-1,-1.076494809E-3,-5.392255262E-4,-4.953569733E-4
4.945296250E-1,1.532337628E-3,1.132973237E-3,2.284904476E-4
5.045426250E-1,5.817040801E-5,2.012415789E-3,7.757025305E-4
5.145566250E-1,7.947580889E-5,5.306329112E-4,-6.690621376E-4
5.245696250E-1,1.188693568E-4,-8.745396044E-4,-6.181998178E-4
5.345826250E-1,-1.807361841E-4,1.707512420E-4,5.250955001E-4
5.445966250E-1,-2.178875729E-5,2.778978087E-4,4.276165273E-4
5.546096250E-1,-8.638799191E-4,-1.086173346E-3,-5.087507889E-4
5.646226250E-1,-2.793441527E-4,-1.729635987E-3,2.500760136E-3
5.746366250E-1,-3.525810316E-4,-2.385322005E-4,5.494619254E-4
5.846496250E-1,-8.630100638E-5,1.026408281E-4,-1.375675201E-4
5.946626250E-1,1.576576848E-3,1.503463602E-3,-1.056096517E-4
6.046766250E-1,-8.061686531E-4,9.666814003E-4,-1.058418769E-3
6.146896250E-1,1.721970271E-3,-5.063130520E-4,5.533262156E-4
6.247036250E-1,-7.640570402E-5,-5.837448407E-4,-6.318422966E-4
6.347166250E-1,-1.400555484E-4,-8.319511544E-4,-7.905666716E-4
6.447296250E-1,-6.877868436E-4,1.357528381E-4,-1.849737018E-4
6.547436250E-1,2.592331730E-4,-3.974954598E-5,-1.431619748E-4
6.647566250E-1,9.054550901E-5,2.929524053E-4,-7.661106065E-4
6.747696250E-1,-1.046643592E-4,-1.275383169E-3,-5.424767733E-5
6.847836250E-1,2.329703420E-6,6.461702287E-4,-1.495110337E-3
6.947966250E-1,-5.529392511E-4,9.968946688E-5,1.053325832E-6
7.048096250E-1,-3.489442170E-4,-4.400531761E-4,-7.074978203E-4
7.148236250E-1,7.797037251E-4,9.578403551E-4,3.942518961E-4
7.248366250E-1,3.096135333E-4,1.322661294E-3,3.173698206E-4
7.348496250E-1,9.136185981E-4,-3.878870048E-4,-1.846448518E-3
7.448636250E-1,6.425916217E-4,-8.416268975E-4,-7.892623544E-4
7.548766250E-1,-2.857865766E-4,1.268661814E-3,2.752032597E-4
7.648896250E-1,8.117426187E-4,1.410747878E-3,5.693878047E-4
7.749036250E-1,-1.167518552E-3,-1.054007560E-3,8.764502127E-4
7.849166250E-1,-3.806618042E-4,-1.099104295E-3,3.264024854E-4
7.949296250E-1,7.000491023E-4,7.920064963E-4,2.866098657E-5
8.049436250E-1,-5.684965290E-4,-2.133857924E-4,-8.390550502E-4
8.149566250E-1,1.026736572E-3,-2.437459771E-4,-1.895797439E-3
8.249706250E-1,4.747784697E-4,1.750676893E-5,1.182015752E-3
8.349836250E-1,3.464142792E-4,-1.575329807E-3,-1.788595691E-4
8.449966250E-1,-1.411000267E-5,-1.186328242E-3,5.583742168E-4
8.550106250E-1,1.059942879E-3,-4.142776597E-4,5.767501425E-4
8.650236250E-1,-1.078454312E-3,-2.846075222E-4,2.139416523E-3
8.750363750E-1,-2.193185501E-4,5.505597219E-4,2.791986335E-4
8.850503750E-1,-4.617553204E-4,3.251084127E-4,-6.713601761E-4
8.950633750E-1,-1.075547189E-4,-7.969187573E-5,-3.789453767E-4
9.050763750E-1,-3.749071620E-4,7.280828431E-4,-2.570208162E-4
9.150903750E-1,1.515997574E-4,4.156939685E-4,6.705580745E-4
9.251033750E-1,-1.513138413E-4,-1.552642789E-4,-5.714925937E-4
9.351163750E-1,-9.565381333E-5,1.728369389E-4,-1.088146120E-3
9.451303750E-1,1.233015209E-4,8.644955233E-5,1.488825772E-3
9.551433750E-1,-1.310278196E-3,8.257429581E-4,2.754945308E-5
9.651563750E-1,-1.399945468E-4,4.975553602E-4,1.766348723E-3
9.751703750E-1,-1.035095192E-4,1.335652079E-3,1.021196367E-3
9.851833750E-1,-4.160925746E-4,-2.470654435E-4,2.057327656E-3
9.951963750E-1,-2.195513807E-4,-2.273581922E-4,2.564983442E-4
1.005210375E0,2.355538309E-4,-3.283377737E-6,-2.761748619E-4
1.015223375E0,1.479249913E-3,-4.408406094E-4,-1.294567715E-3
1.025237375E0,-1.662849449E-3,-2.654788550E-4,-1.529647969E-3
1.035250375E0,-2.274056897E-4,5.619653966E-4,5.366986152E-4
1.045263375E0,-1.515989657E-3,-3.874863032E-4,2.783944365E-4
1.055277375E0,-2.898704261E-4,1.653858926E-4,1.471005380E-4
1.065290375E0,-8.124471642E-4,2.601766028E-4,-1.278608106E-4
1.075303375E0,5.787424743E-5,5.318191834E-4,3.845312167E-4
1.085317375E0,-1.559394412E-3,9.130951948E-4,5.129789934E-4
1.095330375E0,2.598110586E-4,4.863319919E-5,1.470651943E-3
1.105343375E0,6.780419499E-4,1.791631803E-5,-4.228721373E-4
1.115357375E0,-6.231665611E-5,-4.489356652E-4,8.743535727E-4
1.125370375E0,-1.327636652E-3,7.650023326E-5,-5.651451647E-4
1.135383375E0,4.372401163E-4,-8.289744146E-4,6.228908896E-4
1.145397375E0,8.017197251E-5,6.272653118E-4,-5.288282409E-5
1.155410375E0,2.748491243E-4,8.440467063E-4,-1.038252842E-3
1.165423375E0,7.392871194E-4,8.252810221E-4,-6.636199541E-4
1.175437375E0,-6.732535549E-4,6.103641354E-4,7.864711806E-4
1.185450375E0,4.633734934E-4,4.396564327E-4,4.287250340E-5
1.195464375E0,-2.199932933E-4,4.234111402E-4,-3.755101934E-4
1.205477375E0,-3.480082378E-4,-8.455889765E-4,4.045383539E-4
1.215490375E0,3.575300798E-5,2.921132836E-4,-2.463385463E-4
1.225504375E0,1.198053360E-5,3.087082878E-4,1.721942564E-3
1.235517375E0,-1.387544908E-4,1.862030476E-4,-5.265641958E-4
1.245530375E0,1.033456530E-3,-5.414236803E-4,1.245986670E-3
1.255544375E0,4.803179763E-4,4.644524306E-4,-4.073036835E-4
1.265557375E0,-8.849594742E-4,-7.985820994E-4,-1.409882680E-4
1.275570375E0,9.912373498E-4,1.191431656E-4,1.253280789E-4
1.285584375E0,-1.015515532E-3,-6.785676815E-4,-1.078476198E-4
1.295597375E0,6.466265768E-5,4.005453084E-4,1.307622530E-3
1.305610375E0,3.662644885E-4,-7.542865351E-4,-5.542305298E-4
1.315624375E0,2.911631018E-4,-1.199833583E-3,2.015745267E-4
1.325637375E0,5.553541705E-4,-8.218521252E-4,2.163178287E-4
1.335650375E0,1.867725514E-4,1.760344021E-4,3.121914342E-4
